sym,net
ORDIUSDT,3198.672962053508
TRXUSDT,2055.242914795103
RENDERUSDT,1476.0875731656688
ROSEUSDT,1407.934868550598
NEARUSDT,1095.541780857708
FILUSDT,940.425670012712
TIAUSDT,877.9853278845155
CKBUSDT,836.560218310831
ALGOUSDT,782.7757355965632
ICPUSDT,726.3296294923647
AVAXUSDT,677.6289774292793
XLMUSDT,622.0290071745496
VETUSDT,538.2861060973444
POLUSDT,533.843275526579
APTUSDT,491.36787418766363
BONKUSDT,427.1150649044938
OPUSDT,409.06091301106926
FLUXUSDT,354.2400611927591
HBARUSDT,319.47317973429756
GALAUSDT,294.6007834558073
CFXUSDT,270.54608070081275
UNIUSDT,269.49142136390043
JASMYUSDT,228.13460138242516
DOTUSDT,214.50718882709813
PYTHUSDT,207.94450454142617
ATOMUSDT,189.7858413423382
DOGEUSDT,189.57956093467604
XRPUSDT,189.3604879562508
SOLUSDT,170.82980799552115
FETUSDT,140.67180193454857
GRTUSDT,99.05057082651966
LINKUSDT,98.44143136875691
ETHUSDT,72.91154369935762
LTCUSDT,66.46950654224848
ADAUSDT,53.282184093281046
ANKRUSDT,24.740971899004705
ENSUSDT,9.773274174945968
SEIUSDT,4.145915116702469
