month,net,cap,trades,m_ret
2024-01,41.65903311728539,1041.6590331172854,57,4.165903311728547
2024-02,391.2405414641157,1432.899574581401,71,37.55936722338815
2024-03,173.19381000604676,1606.0933845874479,63,12.086946850873526
2024-04,79.02064749388228,1685.1140320813302,30,4.920053108504652
2024-05,89.83393027738475,1774.947962358715,36,5.331029744404203
2024-06,152.71944958456652,1927.6674119432814,43,8.604164900790611
2024-07,-17.375402558231144,1910.2920093850503,3,-0.9013693156079805
2024-08,163.9801459028081,2074.2721552878584,17,8.584035587082607
2024-09,130.84046017207675,2205.112615459935,8,6.307776915316077
2024-10,294.6077714241478,2499.720386884083,11,13.360214320060916
2024-11,498.9663036514644,2998.6866905355473,80,19.96088467612287
2024-12,281.1636966450451,3279.8503871805924,68,9.376227851094065
2025-01,151.97363097345624,3431.8240181540486,21,4.6335537610938005
2025-02,176.34004219937742,3608.164060353426,25,5.138376597009464
2025-03,348.3765646891334,3956.5406250425594,23,9.655230717391738
2025-04,180.64564331315614,4137.186268355716,28,4.565747212849947
2025-05,595.6571333223837,4732.843401678099,50,14.397638749756414
2025-06,409.7810251835517,5142.624426861651,22,8.658241788398445
2025-07,2269.9215135658633,7412.545940427514,71,44.139360084498925
2025-08,29.748028035877724,7442.293968463392,19,0.40131998202714847
2025-09,155.36173881993727,7597.655707283329,21,2.0875517613020866
2025-10,2.870604751185965,7600.526312034515,7,0.03778276960397786
2025-11,1542.9875952543189,9143.513907288834,53,20.30106247788637
2025-12,1314.8422610755406,10458.356168364375,17,14.380054259308373
2026-01,1490.5562094663837,11948.912377830758,40,14.252299170831328
2026-02,76.81135263806937,12025.723730468828,13,0.6428313323359802
2026-03,212.34640208028213,12238.07013254911,22,1.765768171958526
2026-04,2343.17682626854,14581.24695881765,32,19.14662034855059
2026-05,2071.004080408169,16652.25103922582,47,14.203202827970628
2026-06,3385.465669419067,20037.716708644886,37,20.330378526268376
2026-07,-1.1161441511576413,20036.60056449373,27,-0.005570216244632498
2026-08,1528.2680536394982,21564.868618133227,38,7.627381943959577
