sym,month,net,pnl_pct,reason,entry_px,exit_px,notional,held_bars,cap_after
ICPUSDT,2024-01,21.37575237047999,6.499999999999995,TAKE_PROFIT,12.720544012069702,13.547379372854232,332.95564440000004,76,355.19809314443086
OPUSDT,2024-01,-4.007425011921962,-1.1234309345111049,STALL_EXIT,3.875775,3.8322333446979524,333.0,153,684.3238681325089
FILUSDT,2024-01,-3.2721193537690456,-0.902880246414417,STALL_EXIT,7.415482834339142,7.348529904651642,332.91129470816594,174,336.39173622953814
ICPUSDT,2024-01,21.744166943427164,6.499999999999995,TAKE_PROFIT,13.171633471870422,14.027789647541999,338.69418914995583,27,360.573833769043
FILUSDT,2024-01,2.421052080020687,0.8000000000000007,TRAILING_LOCK,7.352470032119751,7.411289792376709,336.2572333362037,32,699.3866220786019
POLUSDT,2024-01,-4.939488089082626,-1.3781974853671053,STALL_EXIT,0.9861972014307976,0.9726054563999176,338.73930922594474,60,1033.3219389391543
SEIUSDT,2024-01,-7.845393489201628,-2.200000000000002,STOP_LOSS,0.7058411202549935,0.6903126156093836,344.0962056667384,2,1025.4765454499525
ENSUSDT,2024-01,-7.785828123674211,-2.200000000000002,STOP_LOSS,13.842768152618408,13.538227253260803,341.4836896348342,2,1017.6907173262782
TIAUSDT,2024-01,-7.726715002228034,-2.200000000000002,STOP_LOSS,15.358371009635926,15.020486847423935,338.89100886965065,1,1009.9640023240502
RENDERUSDT,2024-01,2.421489691972122,0.8000000000000007,TRAILING_LOCK,4.015802866458893,4.047929289390564,336.3180127739087,23,339.61485252353964
APTUSDT,2024-01,-7.666008058589371,-2.200000000000002,STOP_LOSS,10.039407725715638,9.818540755749893,336.22842362234064,3,668.3117594567398
TIAUSDT,2024-01,1.4123475039013127,0.49999999999998934,TRAILING_LOCK,15.502799532508849,15.580313530171392,336.2732152146072,7,1006.1318314613341
SEIUSDT,2024-01,1.407175979481795,0.49999999999998934,TRAILING_LOCK,0.6800359705567359,0.6834361504095195,335.04189987662426,8,1007.5390074408158
FILUSDT,2024-01,1.4089563578184683,0.49999999999998934,TRAILING_LOCK,5.93118582830429,5.960841757445811,335.4657994805932,4,673.3032701250513
ROSEUSDT,2024-01,-7.649639160093656,-2.200000000000002,STOP_LOSS,0.11674334241896868,0.11417498888575137,335.5104894777917,14,1001.2983246385404
ENSUSDT,2024-01,21.406356363117492,6.499999999999995,TAKE_PROFIT,12.272454457855224,13.070163997615813,333.43234210463396,19,1022.7046810016578
SEIUSDT,2024-01,-7.762714619605122,-2.200000000000013,STOP_LOSS,0.652130410015583,0.6377835409952402,340.46993945636376,18,333.59358113275033
ENSUSDT,2024-01,2.4517101318753953,0.8000000000000007,TRAILING_LOCK,12.662531847381592,12.763832102160645,340.51529609380344,64,676.6967934768667
ICPUSDT,2024-01,4.0945619482426885,1.2887384367991528,TRAILING_LOCK,11.639327483940125,11.78932797101059,338.7467315993895,63,342.97679224027183
SOLUSDT,2024-01,-3.5348370017806197,-0.9579463718770387,STALL_EXIT,92.57850955810547,91.69165708465576,340.56065877355206,234,680.1388382755526
ORDIUSDT,2024-01,4.301278131331188,1.3537753523755969,TRAILING_LOCK,67.48849347381592,68.40213606415405,337.67949138828214,65,1022.2546795917212
NEARUSDT,2024-01,-7.761366429332172,-2.199999999999991,STOP_LOSS,3.2356468950748445,3.164462663383198,340.4108083040432,13,333.53544443585525
JASMYUSDT,2024-01,-7.759298939019435,-2.200000000000002,STOP_LOSS,0.005112022234965116,0.004999557745795883,340.32012890436124,13,666.2324024527588
AVAXUSDT,2024-01,-7.760332615323813,-2.200000000000002,STOP_LOSS,33.776754457855226,33.03366585978241,340.36546558437715,47,998.9736816080459
BONKUSDT,2024-01,1.3971645910969743,0.49999999999998934,TRAILING_LOCK,1.2722544086136623e-05,1.2786156806567304e-05,332.65823597547933,7,1000.370846199143
NEARUSDT,2024-01,1.3989323028878202,0.49999999999998934,TRAILING_LOCK,3.2416481370449066,3.2578563777301306,333.07911973520896,16,335.34506982310364
TIAUSDT,2024-01,5.669653844314242,1.780043051479785,TRAILING_LOCK,15.523104457855224,15.799422400131224,333.50060396289155,32,341.0147236674179
SOLUSDT,2024-01,-2.7656429433190364,-0.7504367377436427,STALL_EXIT,98.50969586334229,97.77044291534423,333.03475359646023,88,671.4170482219977
BONKUSDT,2024-01,1.4049503992527763,0.49999999999998934,TRAILING_LOCK,1.4982995832542656e-05,1.5057910811705367e-05,334.51199982210204,15,672.8219986212505
LTCUSDT,2024-01,21.386528172552968,6.499999999999995,TAKE_PROFIT,64.79295477905274,69.00449683969116,333.12349178431464,386,1027.465267974832
ENSUSDT,2024-01,12.435453952186908,3.71454675560261,TRAILING_LOCK,22.494497771072385,23.330066408216855,342.14593423561905,45,1039.9007219270188
ENSUSDT,2024-01,-7.895342241158691,-2.200000000000002,STOP_LOSS,21.71434108428955,21.23662558043518,346.2869404016973,1,1032.0053796858601
ENSUSDT,2024-01,2.4743360983348106,0.8000000000000007,TRAILING_LOCK,24.79495891571045,24.993318587036132,343.65779143539146,25,1034.479715784195
TIAUSDT,2024-01,2.4802685665641957,0.8000000000000007,TRAILING_LOCK,18.37197314414978,18.51894892930298,344.4817453561369,26,692.3863496189485
ORDIUSDT,2024-01,2.479938194791152,0.8000000000000007,TRAILING_LOCK,72.53650757446289,73.1167996350586,344.4358603876555,35,1039.4399225455504
OPUSDT,2024-01,-3.114508984004231,-0.8197999431212577,STALL_EXIT,3.461692165660858,3.4333132152557373,346.1334942076683,77,1036.3254135615462
SEIUSDT,2024-01,1.4494047234071636,0.49999999999998934,TRAILING_LOCK,0.789257811319828,0.7932041003764271,345.09636271599487,9,1037.7748182849532
ORDIUSDT,2024-01,-2.2262913257969767,-0.564220636224011,STALL_EXIT,73.9987979598999,73.58128147125244,345.5790144888894,206,344.25217724752736
ENSUSDT,2024-01,2.487506100269608,0.8000000000000007,TRAILING_LOCK,22.80455923690796,22.986995710803225,345.4869583707754,20,692.3648365019208
SEIUSDT,2024-01,22.183217531979025,6.499999999999995,TAKE_PROFIT,0.7713542412400245,0.821492266920626,345.5329833641595,234,1060.219250591405
OPUSDT,2024-01,-8.047464365267082,-2.200000000000002,STOP_LOSS,3.272654474401474,3.200656075964641,352.95896338890606,2,345.83036839556047
RENDERUSDT,2024-01,-8.049608638190154,-2.199999999999991,STOP_LOSS,4.111822261047363,4.021362171304322,353.0530104469379,6,690.9749914084871
POLUSDT,2024-01,-8.048536430319574,-2.200000000000002,STOP_LOSS,0.7959591306209564,0.7784480297472953,353.00598378594634,39,1036.0736411576281
ETHUSDT,2024-01,-3.513808930175622,-0.938458374976725,STALL_EXIT,2481.5162235351563,2458.2282267089845,345.01252250549015,153,1032.5598322274525
DOGEUSDT,2024-01,-7.8396072702037385,-2.200000000000013,STOP_LOSS,0.0869573859706521,0.08504432347929775,343.8424241317417,43,1024.7202249572488
SEIUSDT,2024-01,-7.7800858359653935,-2.199999999999991,STOP_LOSS,0.6336266799688339,0.6196868930095196,341.23183491076384,17,675.6172817377974
ORDIUSDT,2024-01,-7.779049528532059,-2.200000000000002,STOP_LOSS,64.79695338134765,63.371420406958,341.18638283035375,41,1009.1610895927513
ORDIUSDT,2024-01,6.258080075655173,1.9422431496848303,TRAILING_LOCK,51.672331148529054,52.67593346054382,336.0506428343862,28,1015.4191696684065
ORDIUSDT,2024-01,-7.709468503790399,-2.200000000000002,STOP_LOSS,50.5421078956604,49.43018152195587,338.1345834995794,2,669.4849213739697
RENDERUSDT,2024-01,-7.708441602585695,-2.200000000000002,STOP_LOSS,3.751750127506256,3.6692116247011186,338.08954397305723,54,1000.0012595620304
XRPUSDT,2024-01,2.39696434102027,0.8000000000000007,TRAILING_LOCK,0.530806167948246,0.535052617291832,332.9117140305922,248,336.17535809732203
ETHUSDT,2024-01,2.397283659203666,0.8000000000000007,TRAILING_LOCK,2266.653191162109,2284.786416691406,332.9560637782875,363,337.8185008429101
TIAUSDT,2024-01,21.378626927672826,6.499999999999995,TAKE_PROFIT,16.763352228927612,17.852970123807907,333.00041943415613,551,692.3307473725126
TRXUSDT,2024-01,2.4027113027243,0.8000000000000007,TRAILING_LOCK,0.11235246312171221,0.11325128282668591,333.70990315615194,658,1028.5768457926513
CKBUSDT,2024-01,21.98953295546273,6.499999999999995,TAKE_PROFIT,0.003926785292197019,0.004182026336189824,342.5160896489529,93,1050.566378748114
SEIUSDT,2024-01,-5.271650906921646,-1.4270815862592046,STALL_EXIT,0.6703340302705765,0.6607678167581559,349.7920056210528,68,695.3161882764211
