sym,trades,net_profit,win_rate,avg_pnl
ORDIUSDT,114,1066.1136228222792,53.50877192982456,1.0251758647771274
TRXUSDT,47,904.5441396979323,61.702127659574465,1.8173634695174858
TIAUSDT,44,574.420525978005,63.63636363636363,1.8953149397502629
RENDERUSDT,56,534.0406842728171,50.0,1.0160959808752748
FILUSDT,38,370.6564767579126,55.26315789473685,0.9283867987369535
ICPUSDT,39,319.96882231692484,48.717948717948715,0.8117447417838198
GALAUSDT,38,314.14137987971606,50.0,1.2949088066797907
NEARUSDT,42,282.3728277659221,52.38095238095239,0.9904750113235946
ALGOUSDT,16,255.61042357149017,62.5,1.2905145834920535
XLMUSDT,19,255.14416689614418,63.1578947368421,1.472363995697931
AVAXUSDT,11,210.24431807966013,54.54545454545454,0.44545454545454183
APTUSDT,27,187.59650704946955,55.55555555555556,0.9876175837596434
BONKUSDT,62,186.82724397286398,51.61290322580645,0.7767771362841888
POLUSDT,22,176.14698978017591,45.45454545454545,0.9645147979820528
HBARUSDT,30,173.90851552412653,56.666666666666664,1.088928211029177
VETUSDT,15,173.61787306979434,73.33333333333333,1.3027200866240363
XRPUSDT,19,154.5807508568275,57.89473684210527,1.607614866387462
OPUSDT,28,130.87932165801422,39.285714285714285,0.42645212251095355
DOTUSDT,13,116.95814206307486,69.23076923076923,1.172020982208794
UNIUSDT,37,103.76395291669701,45.94594594594595,0.26764827443353734
FETUSDT,47,94.26134497732593,46.808510638297875,0.4258762908047259
ENSUSDT,34,87.20100062674636,58.82352941176471,1.2090663929349335
DOGEUSDT,30,84.51370812057607,43.333333333333336,0.558225554471321
SOLUSDT,11,55.877175370359694,18.181818181818183,-0.6195271700208252
ETHUSDT,13,34.195838401516355,61.53846153846154,0.7215043828803199
ATOMUSDT,9,22.92978869248219,33.33333333333333,-0.48915486625452764
ADAUSDT,10,19.12854218827384,60.0,0.42616149032142836
SEIUSDT,23,12.151944740701964,43.47826086956522,0.005739981479283591
LINKUSDT,7,8.803710654376397,42.857142857142854,0.18058418336559523
LTCUSDT,12,5.9092401278612385,58.333333333333336,0.4307401548130076
