sym,net,reason,month,cap_after,pos_notional
ATOMUSDT,0.8273323351017262,TIME_EXIT,2025-01,625.2749205523578,350.0
NEARUSDT,-0.02427267843750658,TIME_EXIT,2025-01,852.7016478739203,227.451
RENDERUSDT,-0.007312152257405752,TIME_EXIT,2025-01,1000.5056425816629,147.81130686
ATOMUSDT,3.135356912122722,TIME_EXIT,2025-01,1003.5009287038242,350.176974903582
APTUSDT,-4.355194030574582,STOP_LOSS,2025-01,999.0052445432311,351.22532504633847
APTUSDT,3.8935841437225656,TIME_EXIT,2025-01,1002.7589679527176,349.6518355901309
XRPUSDT,0.7708814581902577,TIME_EXIT,2025-01,1003.3894631553945,350.96563878345114
APTUSDT,1.4708049161946628,TIME_EXIT,2025-01,776.4065679878762,351.1863121043881
XRPUSDT,1.2083659614475015,TIME_EXIT,2025-01,1005.8368707334813,228.22193678415763
XRPUSDT,0.46163348709455654,TIME_EXIT,2025-01,1006.1576870586732,352.0429047567184
NEARUSDT,-4.366724361834629,STOP_LOSS,2025-01,1001.6501006206504,352.1551904705356
XRPUSDT,4.033575650792028,TIME_EXIT,2025-01,1005.5434452573555,350.5775352172276
NEARUSDT,-4.3640585524169175,STOP_LOSS,2025-01,772.235263710505,351.94020584007444
RENDERUSDT,0.13722711730031678,PROFIT_LOCK,2025-01,1001.0843529950362,228.71186216723078
XRPUSDT,0.591393250699257,TIME_EXIT,2025-01,1001.535594436316,350.3795235482626
NEARUSDT,1.3431148387669332,TIME_EXIT,2025-01,1002.7384942918619,350.5374580527106
RENDERUSDT,-4.351885065226698,STOP_LOSS,2025-01,998.2462258374343,350.95847300215166
XRPUSDT,6.106353023214526,TIME_EXIT,2025-01,1004.2128243890315,349.386179043102
APTUSDT,-5.372823886839064,STOP_LOSS,2025-01,998.699410706778,351.474488536161
RENDERUSDT,11.76335953205419,TAKE_PROFIT,2025-01,1010.3229523213333,349.5447937473723
XRPUSDT,-1.8517807335725551,STOP_LOSS,2025-01,424.7660727848248,149.33715593326974
RENDERUSDT,-4.384801613074578,STOP_LOSS,2025-01,773.9943044842169,353.61303331246665
ATOMUSDT,0.42427203252183526,TIME_EXIT,2025-01,557.0949797124152,229.79896582843955
NEARUSDT,4.50922125743477,TIME_EXIT,2025-01,832.5022075393258,270.89800656947585
APTUSDT,2.806133487266717,TIME_EXIT,2025-01,1011.3541195758321,176.0457785492396
RENDERUSDT,-4.3892768789591035,STOP_LOSS,2025-01,1006.8232531201323,353.9739418515412
APTUSDT,4.088430472580402,TIME_EXIT,2025-01,1010.770728337276,352.3881385920463
APTUSDT,-4.386744960983759,STOP_LOSS,2025-01,776.2497022181108,353.76975491804654
XRPUSDT,-0.843612274488139,TIME_EXIT,2025-01,1005.3069028746644,229.90081293104174
APTUSDT,-4.363031958476039,STOP_LOSS,2025-01,1000.8031279497859,351.8574160061325
RENDERUSDT,-1.196655238640516,TIME_EXIT,2025-01,999.4663602732323,350.28109478242504
APTUSDT,3.1340034815600424,TIME_EXIT,2025-01,775.039883504603,349.8132260956313
ATOMUSDT,0.9413113888224314,TIME_EXIT,2025-01,1003.3108180039325,227.32962311050696
ATOMUSDT,-4.354368950137042,STOP_LOSS,2025-02,998.815985539275,351.1587863013763
APTUSDT,-2.8170530146134882,STOP_LOSS,2025-02,646.182630670049,227.18169472689362
NEARUSDT,-4.3348613772404585,STOP_LOSS,2025-02,991.4333642315547,349.5855949387462
APTUSDT,-4.608874543150329,STOP_LOSS,2025-02,986.685689017412,347.0016774810441
APTUSDT,9.531383755908218,TAKE_PROFIT,2025-03,771.5665210654972,345.3399911560942
NEARUSDT,6.194065047614511,TAKE_PROFIT,2025-03,1002.1832327658111,224.42264665269934
NEARUSDT,-4.349475230203616,STOP_LOSS,2025-03,621.4614274221801,350.7641314680339
RENDERUSDT,-2.0610327721165405,STOP_LOSS,2025-03,767.5344079983577,148.1340133482941
ATOMUSDT,-2.8265499731001356,STOP_LOSS,2025-03,992.6554365010741,227.9475784758165
APTUSDT,0.20845764166518,PROFIT_LOCK,2025-03,992.7249223816291,347.4294027753759
APTUSDT,9.589722750206539,TAKE_PROFIT,2025-03,629.4944062945775,347.45372283357017
NEARUSDT,4.049912720380304,TAKE_PROFIT,2025-03,780.2802871446785,146.73596812972065
ATOMUSDT,6.231977226449238,TAKE_PROFIT,2025-03,1012.3085406917517,225.7962763206239
ATOMUSDT,-4.393419066602183,STOP_LOSS,2025-03,1007.7733984294526,354.3079892421131
RENDERUSDT,1.6669389337560858,TIME_EXIT,2025-03,1009.2992490874286,352.7206894503084
XRPUSDT,-4.380358741039468,STOP_LOSS,2025-03,775.1196384979305,353.2547371806
RENDERUSDT,-1.4902009120469033,TIME_EXIT,2025-03,1003.1955610900684,229.56612350418473
ATOMUSDT,-2.829405136212174,STOP_LOSS,2025-03,649.0159910603535,228.17783356549714
RENDERUSDT,-4.3538687351309004,STOP_LOSS,2025-03,995.7805687067465,351.11844638152394
XRPUSDT,-4.321687668187265,STOP_LOSS,2025-03,991.3194717589404,348.5231990473613
RENDERUSDT,0.20817708906931456,PROFIT_LOCK,2025-03,991.3888641219635,346.9618151156291
APTUSDT,-4.302627670289319,STOP_LOSS,2025-03,986.9474420106972,346.9861024426872
XRPUSDT,-2.479914815206738,TIME_EXIT,2025-03,984.3293545536089,345.431604703744
XRPUSDT,-4.271989398762699,STOP_LOSS,2025-03,610.3901020636868,344.5152740937631
APTUSDT,0.7338340253383814,TIME_EXIT,2025-03,835.010632111598,223.88669602257292
ATOMUSDT,3.2988356400857244,TIME_EXIT,2025-03,983.804476028913,145.49500827722923
XRPUSDT,0.383507766004095,TIME_EXIT,2025-03,984.050251168273,344.3315666101195
NEARUSDT,-0.39007552356829955,TIME_EXIT,2025-03,983.5224086095411,344.41758790889554
XRPUSDT,1.0373623693202854,TIME_EXIT,2025-03,984.4220778416561,344.2328430133394
XRPUSDT,2.7846225872022905,TIME_EXIT,2025-03,987.0688813379605,344.5477272445796
ATOMUSDT,-4.283878945006762,STOP_LOSS,2025-03,758.0472046987144,345.47410846828615
APTUSDT,-0.7711028491171544,TIME_EXIT,2025-03,981.7859059787977,224.50980412920046
ATOMUSDT,3.757619148963688,TIME_EXIT,2025-03,985.4060751009243,343.6250670925792
APTUSDT,3.754755315307938,TIME_EXIT,2025-03,989.0228735657182,344.8921262853235
XRPUSDT,4.721615121362973,TIME_EXIT,2025-03,993.606025484782,346.15800574800136
ATOMUSDT,-4.312250150603983,STOP_LOSS,2025-04,989.1546704906101,347.76210891967366
XRPUSDT,0.20772248080295516,PROFIT_LOCK,2025-04,989.2239113175444,346.2041346717135
APTUSDT,-4.29323177511814,STOP_LOSS,2025-04,984.7921881948419,346.2283689611405
XRPUSDT,-0.9329813606437877,TIME_EXIT,2025-04,983.7213359278508,344.67726586819464
NEARUSDT,-4.269350597926854,STOP_LOSS,2025-04,979.314264342894,344.30246757474777
XRPUSDT,2.215429452715706,TIME_EXIT,2025-05,981.3925897986016,342.7599925200129
ATOMUSDT,-4.259243839725908,STOP_LOSS,2025-05,753.6879375636452,343.48740642951054
APTUSDT,0.6834457949653827,TIME_EXIT,2025-05,542.1981689255342,223.2187259422817
XRPUSDT,0.6583602308667511,TIME_EXIT,2025-05,806.6473073036768,263.7907781472758
ATOMUSDT,2.1574863522194168,TIME_EXIT,2025-05,980.2318687426849,171.42707508678868
XRPUSDT,1.2670957259872233,TIME_EXIT,2025-05,981.3617320070482,343.0811540599397
XRPUSDT,-2.984951410009639,TIME_EXIT,2025-05,754.9383979648999,343.4766062024668
ATOMUSDT,0.53570402216802,TIME_EXIT,2025-05,978.685809293803,223.21170730673512
APTUSDT,3.0366193369614467,TIME_EXIT,2025-05,758.8933053813747,342.54003325283105
XRPUSDT,1.3689377432024001,TIME_EXIT,2025-05,982.8653091342619,222.6030660096848
APTUSDT,-4.265635441642714,STOP_LOSS,2025-05,978.4620725493404,344.00285819699167
ATOMUSDT,6.495433900856133,TIME_EXIT,2025-05,984.8205217600396,342.4617253922691
XRPUSDT,-0.32176645503803186,TIME_EXIT,2025-05,760.2728685721145,344.68718261601384
RENDERUSDT,-0.03428726471160247,TIME_EXIT,2025-05,984.2369938022456,223.99841249484274
RENDERUSDT,3.3650345834209885,TIME_EXIT,2025-05,987.4642352065343,344.4829478307859
XRPUSDT,0.6805696493915717,TIME_EXIT,2025-05,988.0065598629969,345.612482322287
ATOMUSDT,2.4913983434498537,TIME_EXIT,2025-05,990.359637288066,345.8022959520489
NEARUSDT,7.676869122823176,TIME_EXIT,2025-05,772.5494628849166,346.6258730508231
RENDERUSDT,4.0346904223119475,TIME_EXIT,2025-05,1001.8424431680364,225.25828986080788
XRPUSDT,-4.347996203349305,STOP_LOSS,2025-05,997.3541890226436,350.64485510881275
XRPUSDT,2.2516890353028036,TIME_EXIT,2025-05,999.4662484714833,349.0739661579252
XRPUSDT,5.555223642663307,TIME_EXIT,2025-05,777.4610173192007,349.8131869650191
APTUSDT,4.7391915484339515,TIME_EXIT,2025-05,1009.5298065487219,227.32959768108734
ATOMUSDT,-4.381359360421466,STOP_LOSS,2025-05,626.0170935723609,353.33543229205264
XRPUSDT,-1.850327008249111,STOP_LOSS,2025-05,773.3866865842014,149.21992002008957
NEARUSDT,-2.3466685510900764,TIME_EXIT,2025-05,1000.6585820624246,229.61856402931332
XRPUSDT,4.086876119629886,TIME_EXIT,2025-05,1004.6053659805657,350.23050372184855
RENDERUSDT,-4.359987288355642,STOP_LOSS,2025-05,1000.1047339409728,351.61187809319796
XRPUSDT,-4.340454545303832,STOP_LOSS,2025-05,768.0584529645732,350.03665687934046
APTUSDT,-2.8206877908111485,STOP_LOSS,2025-05,992.7125870133702,227.47482183960818
APTUSDT,5.821383860098365,TIME_EXIT,2025-05,772.5112030942571,347.44940545467955
RENDERUSDT,6.0860853307550675,TIME_EXIT,2025-05,1004.3907590537902,225.79347062877807
APTUSDT,2.071748057718556,TIME_EXIT,2025-05,629.261135176557,351.53676566882655
RENDERUSDT,1.3129500430960246,TIME_EXIT,2025-05,859.0237677571968,228.44968253754368
XRPUSDT,0.04855020813169468,TIME_EXIT,2025-05,1007.5326286591766,148.46031069384813
ATOMUSDT,0.238591733454804,TIME_EXIT,2025-05,1007.6301658246191,352.6364200307118
XRPUSDT,1.354149881057838,TIME_EXIT,2025-05,1008.8432474824615,352.67055803861666
APTUSDT,-1.1211502676640503,TIME_EXIT,2025-05,628.8485825120233,353.0951366188615
XRPUSDT,-0.37436737467307374,TIME_EXIT,2025-05,857.9366206204836,229.46240548313332
NEARUSDT,0.7266808728430234,TIME_EXIT,2025-05,1007.7817403205956,149.11843882726902
XRPUSDT,-1.086683117359883,TIME_EXIT,2025-05,777.241314756084,352.72360911220846
RENDERUSDT,3.441501343124447,TIME_EXIT,2025-05,1009.9037807168681,229.22096461765977
XRPUSDT,-4.382982408311218,STOP_LOSS,2025-05,1005.3794117792565,353.4663232509038
APTUSDT,0.08916386684713022,PROFIT_LOCK,2025-05,424.6195634181776,148.60644474523
RENDERUSDT,6.1725048298814365,TIME_EXIT,2025-05,782.6748623707988,351.88279412273977
NEARUSDT,1.6457434566982496,TIME_EXIT,2025-05,1012.9951584161007,228.6745525886037
ATOMUSDT,0.6232219211631262,TIME_EXIT,2025-06,1013.4765610150855,354.5483054456352
APTUSDT,-2.6416831402836687,TIME_EXIT,2025-06,780.0845273739058,354.7167963552799
ATOMUSDT,0.08662880183676684,TIME_EXIT,2025-06,1010.6874134551847,230.51625727944221
NEARUSDT,0.21224435682557916,PROFIT_LOCK,2025-06,780.7843459511803,353.7405947093146
XRPUSDT,-2.850535099684677,STOP_LOSS,2025-06,1007.8156737292909,229.88186287779521
ATOMUSDT,-2.8424356667869777,STOP_LOSS,2025-06,502.9788281611668,229.22868280540092
XRPUSDT,-4.373920023985093,STOP_LOSS,2025-06,851.3403939424336,352.7354858052518
APTUSDT,1.6761002862466403,TIME_EXIT,2025-06,1001.9830460365981,148.96655180791785
ATOMUSDT,-2.1839119480963083,TIME_EXIT,2025-06,999.6588564620567,350.6940661128093
APTUSDT,1.9644486954587468,TIME_EXIT,2025-07,1001.4833529176108,349.88059976171985
APTUSDT,-4.346437751662414,STOP_LOSS,2025-07,996.9967074965398,350.51917352116374
ATOMUSDT,1.7037195015016933,TIME_EXIT,2025-07,998.5608474589919,348.9488476237889
XRPUSDT,-0.9914439098408327,TIME_EXIT,2025-07,997.4296050305068,349.49629661064716
APTUSDT,1.377581397518534,TIME_EXIT,2025-07,998.667546283321,349.10036176067734
APTUSDT,-0.7583299753155768,TIME_EXIT,2025-07,997.7694028515258,349.53364119916233
RENDERUSDT,-2.8141012407549924,STOP_LOSS,2025-07,497.9649534168004,226.94364844798238
ATOMUSDT,2.164047024685331,TIME_EXIT,2025-07,674.9908426501613,349.219290998034
APTUSDT,-0.5640328435075112,TIME_EXIT,2025-07,821.9084091870596,147.48159938040587
RENDERUSDT,2.3351221423654254,TIME_EXIT,2025-07,998.5312650253052,174.28773369588015
NEARUSDT,-0.1305858856408389,TIME_EXIT,2025-07,771.0531032273857,349.48594275885677
ATOMUSDT,-0.7606893323966366,TIME_EXIT,2025-07,997.4093486562597,227.11693476127067
NEARUSDT,4.929016925787336,TIME_EXIT,2025-07,775.2462298105157,349.09327202969087
APTUSDT,2.6443359348882303,TIME_EXIT,2025-07,1004.7523195066188,226.8617537612149
APTUSDT,-4.360625066658711,STOP_LOSS,2025-07,1000.2510291152291,351.6633118273166
NEARUSDT,6.23456768502592,TIME_EXIT,2025-07,1006.3455616561789,350.08786019033016
APTUSDT,-4.367539737587803,STOP_LOSS,2025-07,1001.8371335399593,352.2209465796626
RENDERUSDT,0.21038579804337101,PROFIT_LOCK,2025-07,1001.907262139307,350.64299673898574
ATOMUSDT,1.0714313295945603,TIME_EXIT,2025-07,626.710004789839,350.66754174875746
XRPUSDT,1.8298348742465964,TIME_EXIT,2025-07,856.4246483449331,227.88480868084753
NEARUSDT,0.057210522806647277,TIME_EXIT,2025-07,1004.5750806370753,148.09322176933557
ATOMUSDT,-4.359855849964895,STOP_LOSS,2025-07,771.4915809671714,351.60127822297636
RENDERUSDT,-3.3482734613975405,STOP_LOSS,2025-07,592.4885764892414,270.02205333851
NEARUSDT,-0.5275300712427542,TIME_EXIT,2025-07,612.9987029120391,228.49160666598337
APTUSDT,-0.756428534359259,TIME_EXIT,2025-07,787.7188059602439,175.4765315825641
XRPUSDT,3.391180494036949,TIME_EXIT,2025-07,998.4809882255154,207.37100177123446
XRPUSDT,0.7426376901090637,TIME_EXIT,2025-07,999.0838385772729,349.46834587893034
APTUSDT,5.042220486133559,TIME_EXIT,2025-07,1003.9861873260056,349.67934350204547
APTUSDT,8.877492793075113,TIME_EXIT,2025-07,1012.7231220528552,351.39516556410194
XRPUSDT,-4.395218349709398,STOP_LOSS,2025-07,1008.1861224660584,354.4530927184993
XRPUSDT,-4.375527771502691,STOP_LOSS,2025-07,774.2647817196867,352.8651428631204
ATOMUSDT,-2.8434804775887277,STOP_LOSS,2025-07,1000.7342429831253,229.31294174102743
RENDERUSDT,3.703138779781794,TIME_EXIT,2025-07,1004.2972789688895,350.2569850440938
RENDERUSDT,0.21090242858344246,PROFIT_LOCK,2025-07,775.8477880115049,351.5040476391113
NEARUSDT,2.080528404026171,TIME_EXIT,2025-07,1006.356736814284,228.42842039875288
NEARUSDT,-4.367588237773979,STOP_LOSS,2025-07,772.8598537497522,352.2248578849994
APTUSDT,-2.8383208921998158,STOP_LOSS,2025-07,998.9183790026981,228.89684614514567
XRPUSDT,-4.3353057648717,STOP_LOSS,2025-07,767.1473584485343,349.6214326509443
RENDERUSDT,-2.8173418043595375,STOP_LOSS,2025-07,991.5350008667175,227.2049842225427
XRPUSDT,2.2102499624085423,TIME_EXIT,2025-07,993.6064359290046,347.03725030335113
APTUSDT,0.34746152379937545,TIME_EXIT,2025-07,767.7276163823026,347.7622525751516
ATOMUSDT,0.07384914471879503,TIME_EXIT,2025-07,993.7982429855094,225.99677745848805
APTUSDT,9.600091027240017,TAKE_PROFIT,2025-07,630.1750070340879,347.8293850449283
NEARUSDT,6.23871515496219,TAKE_PROFIT,2025-07,862.4541263543472,226.0404041652971
ATOMUSDT,4.054291430603731,TAKE_PROFIT,2025-07,1013.4030348358109,146.89461705086
APTUSDT,-2.858194217587858,STOP_LOSS,2025-07,505.76735826158836,230.49953367644
NEARUSDT,-1.8574260942416507,STOP_LOSS,2025-07,653.7023591223181,149.79242695497132
