Month,Net_Profit,Ending_Capital,Trades,WinRate,PF,Dur
2025-01,9.34,1004.75,33,57.6%,1.19,7.7s
2025-02,-18.18,985.99,4,0.0%,0.0,0.8s
2025-03,13.54,995.35,31,51.6%,1.25,8.9s
2025-04,-15.56,979.0,5,20.0%,0.02,1.9s
2025-05,42.93,1015.97,46,65.2%,1.88,8.7s
2025-06,-14.05,1000.34,12,50.0%,0.25,3.5s
2025-07,21.83,1015.77,49,53.1%,1.32,8.8s
2025-08,12.55,1023.86,34,61.8%,1.52,9.1s
2025-09,52.91,1069.95,49,63.3%,2.42,9.4s
2025-10,57.2,1121.09,40,50.0%,1.88,10.1s
2025-11,49.33,1165.16,33,66.7%,2.43,9.6s
2025-12,-16.66,1141.81,43,44.2%,0.77,8.5s
