sym,net_pnl,trades,win_rate
ORDIUSDT,2472.6264093934738,105,54.285714285714285
TRXUSDT,1630.3303142341658,46,63.04347826086957
RENDERUSDT,1151.0735643484961,50,50.0
ROSEUSDT,1084.370677543408,56,48.214285714285715
NEARUSDT,839.9156306269585,35,54.285714285714285
TIAUSDT,754.226251294216,42,61.904761904761905
FILUSDT,731.6557870099322,35,54.285714285714285
CKBUSDT,703.8611923399476,64,50.0
ALGOUSDT,592.9323276320425,16,62.5
ICPUSDT,562.6904904402608,38,50.0
AVAXUSDT,517.7781290113654,9,66.66666666666666
XLMUSDT,496.51576401088363,18,61.111111111111114
VETUSDT,427.94283057806797,11,100.0
POLUSDT,408.02512484191925,21,42.857142857142854
APTUSDT,401.90099408522383,26,57.692307692307686
BONKUSDT,361.1843302911819,59,50.847457627118644
HBARUSDT,328.19257861625255,30,56.666666666666664
OPUSDT,325.99998241377625,22,40.909090909090914
GALAUSDT,210.93685290603557,35,51.42857142857142
UNIUSDT,207.3845816861873,36,44.44444444444444
XRPUSDT,181.54355740259777,18,61.111111111111114
DOTUSDT,172.28075676043863,9,66.66666666666666
DOGEUSDT,159.990763729168,27,40.74074074074074
PYTHUSDT,159.74131043163064,45,44.44444444444444
JASMYUSDT,159.40252198052892,62,48.38709677419355
ATOMUSDT,141.54344215039302,7,42.857142857142854
FETUSDT,127.79025726982444,44,45.45454545454545
SOLUSDT,118.69558624167544,10,20.0
LINKUSDT,70.23502588399955,6,33.33333333333333
ETHUSDT,66.35676419967795,13,61.53846153846154
ENSUSDT,55.61950379825605,32,59.375
LTCUSDT,49.163580972349784,11,54.54545454545454
ADAUSDT,44.32174620056319,9,66.66666666666666
ANKRUSDT,25.759916387078675,26,42.30769230769231
SEIUSDT,9.23533702075295,22,45.45454545454545
